dt,NHGF rmb
2017/5/15,475.0
2017/5/16,475.0
2017/5/17,490.0
2017/5/18,485.0
2017/5/19,495.0
2017/5/22,505.0
2017/5/23,495.0
2017/5/24,480.0
2017/5/25,475.0
2017/5/26,475.0
2017/5/31,465.0
2017/6/1,460.0
2017/6/2,465.0
2017/6/5,465.0
2017/6/6,460.0
2017/6/7,460.0
2017/6/8,455.0
2017/6/9,455.0
2017/6/12,455.0
2017/6/13,450.0
2017/6/14,450.0
2017/6/15,450.0
2017/6/16,452.0
2017/6/19,460.0
2017/6/20,460.0
2017/6/21,460.0
2017/6/22,460.0
2017/6/23,460.0
2017/6/26,460.0
2017/6/27,473.0
2017/6/28,483.0
2017/6/29,503.0
2017/6/30,498.0
2017/7/3,503.0
2017/7/4,493.0
2017/7/5,493.0
2017/7/6,493.0
2017/7/7,500.0
2017/7/10,503.0
2017/7/11,513.0
2017/7/12,513.0
2017/7/13,513.0
2017/7/14,513.0
2017/7/17,520.0
2017/7/18,540.0
2017/7/19,540.0
2017/7/20,543.0
2017/7/21,543.0
2017/7/24,540.0
2017/7/25,540.0
2017/7/26,550.0
2017/7/27,551.0
2017/7/28,551.0
2017/7/31,588.0
2017/8/1,588.0
2017/8/2,588.0
2017/8/3,588.0
2017/8/4,598.0
2017/8/7,623.0
2017/8/8,623.0
2017/8/9,618.0
2017/8/10,626.0
2017/8/11,613.0
2017/8/14,613.0
2017/8/15,608.0
2017/8/16,603.0
2017/8/17,623.0
2017/8/18,628.0
2017/8/21,638.0
2017/8/22,638.0
2017/8/23,613.0
2017/8/24,620.0
2017/8/25,620.0
2017/8/28,615.0
2017/8/29,608.0
2017/8/30,603.0
2017/8/31,613.0
2017/9/1,621.0
2017/9/4,613.0
2017/9/5,615.0
2017/9/6,611.0
2017/9/7,608.0
2017/9/8,601.0
2017/9/11,603.0
2017/9/12,606.0
2017/9/13,603.0
2017/9/14,593.0
2017/9/15,585.0
2017/9/18,588.0
2017/9/19,585.0
2017/9/20,580.0
2017/9/21,565.0
2017/9/22,545.0
2017/9/25,540.0
2017/9/26,530.0
2017/9/27,530.0
2017/9/28,522.0
2017/9/29,522.0
2017/10/9,525.0
2017/10/10,515.0
2017/10/11,513.0
2017/10/12,508.0
2017/10/13,510.0
2017/10/16,510.0
2017/10/17,505.0
2017/10/18,505.0
2017/10/19,495.0
2017/10/20,505.0
2017/10/23,508.0
2017/10/24,508.0
2017/10/25,508.0
2017/10/26,505.0
2017/10/27,495.0
2017/10/30,490.0
2017/10/31,490.0
2017/11/1,490.0
2017/11/2,498.0
2017/11/3,498.0
2017/11/6,508.0
2017/11/7,508.0
2017/11/8,508.0
2017/11/9,500.0
2017/11/10,495.0
2017/11/13,497.0
2017/11/14,497.0
2017/11/15,489.0
2017/11/16,491.0
2017/11/17,489.0
2017/11/20,494.0
2017/11/21,497.0
2017/11/22,502.0
2017/11/23,514.0
2017/11/24,514.0
2017/11/27,517.0
2017/11/28,514.0
2017/11/29,524.0
2017/11/30,529.0
2017/12/1,529.0
2017/12/4,554.0
2017/12/5,546.0
2017/12/6,538.0
2017/12/7,518.0
2017/12/8,523.0
2017/12/11,520.0
2017/12/12,525.0
2017/12/13,530.0
2017/12/14,530.0
2017/12/15,530.0
2017/12/18,550.0
2017/12/19,548.0
2017/12/20,548.0
2017/12/21,548.0
2017/12/22,548.0
2017/12/25,553.0
2017/12/26,541.0
2017/12/27,541.0
2017/12/28,539.0
2017/12/29,547.0
2018/1/2,555.0
2018/1/3,552.0
2018/1/4,554.0
2018/1/5,556.0
2018/1/8,565.0
2018/1/9,572.0
2018/1/10,572.0
2018/1/11,572.0
2018/1/12,565.0
2018/1/15,560.0
2018/1/16,556.0
2018/1/17,553.0
2018/1/18,558.0
2018/1/19,562.0
2018/1/22,562.0
2018/1/23,552.0
2018/1/24,550.0
2018/1/25,555.0
2018/1/26,549.0
2018/1/29,546.0
2018/1/30,546.0
2018/1/31,543.0
2018/2/1,545.0
2018/2/2,548.0
2018/2/5,554.0
2018/2/6,552.0
2018/2/7,552.0
