,每日PnL,净值,资金占用比例,杠杆倍数,换手率
2018-03-12,4800.0,1.62039,0.047452156579588865,1.0259,0.12628350000000002
2018-03-13,-1645.0,1.618745,0.043537647992735115,1.006805,0.07357190000000001
2018-03-14,-80.0,1.618665,0.04362153379482475,1.008695,0.08229550000000002
2018-03-15,1315.0,1.61998,0.0431224768207015,0.961365,0.044752150000000004
2018-03-16,6195.0,1.626175,0.04768410533921626,1.07181,0.0665343
2018-03-19,9190.0,1.635365,0.04204669905495104,0.98231,0.0976759
2018-03-20,2980.0,1.6383450000000002,0.04234227223203904,0.921075,0.10370655000000001
2018-03-21,6100.0,1.6444450000000002,0.042145678329162724,0.920775,0.0
2018-03-22,4040.0,1.648485,0.04414996193474616,1.005065,0.044751400000000004
2018-03-23,28450.0,1.6769349999999998,0.04515738534886564,0.9526,0.10749035000000001
2018-03-26,5920.0,1.682855,0.027730374868898393,0.66666,0.1223906
2018-03-27,2650.0,1.685505,0.04664791857633172,1.09129,0.1058224
2018-03-28,-4670.0,1.680835,0.04574717327994718,1.066835,0.03763935
2018-03-29,-1635.0,1.6792,0.04209528346831825,0.97702,0.06951829999999999
2018-03-30,4130.0,1.68333,0.04262913391907707,0.99187,0.019748400000000003
2018-04-02,3270.0,1.6865999999999999,0.036853610814656705,0.85489,0.0477379
2018-04-03,5030.0,1.69163,0.04360013714582976,1.02099,0.043780099999999995
2018-04-04,2330.0,1.6939600000000001,0.035707867954379094,0.83171,0.04592210000000001
2018-04-09,-1890.0,1.69207,0.036316759944919536,0.84515,0.05581450000000001
2018-04-10,965.0,1.693035,0.03960151444004406,0.924725,0.024929800000000002
2018-04-11,-10.0,1.693025,0.04702851405029459,1.104635,0.0707581
2018-04-12,4125.0,1.6971500000000002,0.04135079397813982,0.96975,0.009569
2018-04-13,-170.0,1.69698,0.047068085658051366,1.10818,0.028462000000000005
2018-04-16,3750.0,1.70073,0.04185002910514897,0.98498,0.022204
2018-04-17,-1040.0,1.69969,0.04220475498473251,0.9931,0.0141162
2018-04-18,-1810.0,1.69788,0.04286963743020708,1.00785,0.0
2018-04-19,-7825.0,1.690055,0.04724378792406165,1.10698,0.019685050000000003
2018-04-20,3285.0,1.69334,0.04402807469261933,1.03205,0.034064449999999996
2018-04-23,3875.0,1.697215,0.03701183998491647,0.864015,0.024862600000000002
2018-04-24,1130.0,1.698345,0.040635559912738574,0.95296,0.032501350000000005
2018-04-25,-2625.0,1.6957200000000001,0.041096997145755196,0.9624,0.03213945000000001
2018-04-26,2015.0,1.697735,0.043594524469366534,1.024685,0.010969000000000001
2018-04-27,4855.0,1.70259,0.0434798160449668,1.02529,0.0
2018-05-02,-4070.0,1.69852,0.038510055813296286,0.93443,0.0102555
2018-05-03,-1765.0,1.696755,0.04102365986839585,0.96123,0.05006745000000001
2018-05-04,1415.0,1.69817,0.03768165142476902,0.880955,0.0217483
2018-05-07,-3870.0,1.6943000000000001,0.04127220681107243,0.96535,0.022458450000000005
2018-05-08,-670.0,1.69363,0.03663500882719366,0.852845,0.03783955
2018-05-09,-2335.0,1.691295,0.03595398792049879,0.83554,0.013781600000000001
2018-05-10,1575.0,1.69287,0.04072123080921749,0.951425,0.036099700000000005
2018-05-11,4385.0,1.697255,0.036619777228524886,0.85453,0.020767599999999997
2018-05-14,-1460.0,1.695795,0.03497669234783685,0.81419,0.031221400000000007
2018-05-15,2905.0,1.6987,0.046294931418143295,1.09076,0.03128335
2018-05-16,995.0,1.699695,0.04647036674226846,1.095635,0.0
2018-05-17,695.0,1.70039,0.04490046401119743,1.05799,0.0173208
2018-05-18,-13930.0,1.6864599999999998,0.045581988306867646,1.06456,0.0
2018-05-21,-7260.0,1.6792,0.036587333253930446,0.842735,0.04586645
2018-05-22,3345.0,1.682545,0.03997355197037822,0.92609,0.033747
2018-05-23,1440.0,1.6839849999999998,0.03529942368845329,0.81531,0.03233160000000001
2018-05-24,-135.0,1.68385,0.04320853995308371,1.00551,0.028506450000000006
2018-05-25,1060.0,1.68491,0.03851716115400823,0.893185,0.03259515
2018-05-28,505.0,1.6854149999999999,0.03998697650133647,0.929295,0.03937815
2018-05-29,-5770.0,1.679645,0.044685930657966416,1.03815,0.03330845
2018-05-30,4705.0,1.68435,0.04678988927479443,1.092565,0.0145908
2018-05-31,1790.0,1.68614,0.04649228415196841,1.08655,0.03451735000000001
2018-06-01,2645.0,1.688785,0.046361792649745236,1.08513,0.04569075
2018-06-04,2695.0,1.6914799999999999,0.04441997540615319,1.03995,0.03275405000000001
2018-06-05,4360.0,1.69584,0.04645974856118502,1.09239,0.04250260000000001
2018-06-06,1985.0,1.697825,0.0407618865312974,0.955465,0.040190500000000004
2018-06-07,4765.0,1.70259,0.044863648911364455,1.05782,0.022104600000000002
2018-06-08,2690.0,1.7052800000000001,0.03760432304372303,0.88347,0.0493108
2018-06-11,70.0,1.7053500000000001,0.040101210895124174,0.94438,0.043377599999999995
2018-06-12,8485.0,1.713835,0.03611377407976847,0.851615,0.04063220000000001
2018-06-13,9550.0,1.723385,0.03622867206108908,0.860985,0.0601258
2018-06-14,3695.0,1.72708,0.036484470898858194,0.86928,0.030131500000000002
2018-06-15,4710.0,1.7317900000000002,0.046334428539257067,1.08465,0.0640706
2018-06-19,11100.0,1.74289,0.037641302663966175,0.908095,0.07653545
2018-06-20,2225.0,1.745115,0.04000191964426414,0.967685,0.08104775
2018-06-21,-295.0,1.74482,0.0398432503066219,0.96359,0.0
2018-06-22,-1180.0,1.74364,0.03392560964419261,0.815115,0.05411735000000001
2018-06-25,-4070.0,1.73957,0.03832136677454774,0.92241,0.06125735000000001
2018-06-26,-7680.0,1.73189,0.036924400510425025,0.8836,0.016697100000000003
